country,city,season,pollutant,seasonal_avg
BR,Jaú,autumn,pm10,40.0
BR,Jundiaí,autumn,no2,31.0
BR,Jundiaí,autumn,o3,130.0
BR,Jundiaí,autumn,pm10,45.0
BR,Limeira,autumn,no2,15.0
BR,Limeira,autumn,o3,115.0
BR,Limeira,autumn,pm10,71.0
BR,Marília,autumn,no2,8.0
BR,Marília,autumn,o3,76.0
BR,Marília,autumn,pm10,19.0
BR,Mauá,autumn,no2,50.0
BR,Mauá,autumn,o3,58.0
BR,Mauá,autumn,pm10,57.0
BR,Osasco,autumn,co,0.9
BR,Osasco,autumn,no2,61.0
BR,Osasco,autumn,pm10,74.0
BR,Osasco,autumn,pm25,98.0
BR,Osasco,autumn,so2,1.0
BR,Paulínia,autumn,no2,8.0
BR,Paulínia,autumn,o3,138.0
BR,Paulínia,autumn,pm10,31.0
BR,Paulínia,autumn,so2,1.0
BR,Piracicaba,autumn,no2,17.0
BR,Piracicaba,autumn,o3,89.0
BR,Piracicaba,autumn,pm10,0.0
BR,Piracicaba,autumn,pm25,32.0
BR,Presidente Prudente,autumn,no2,8.0
BR,Presidente Prudente,autumn,o3,68.0
BR,Presidente Prudente,autumn,pm10,40.0
BR,Santa Gertrudes,autumn,pm10,19.0
BR,Santo André,autumn,co,1.2
BR,Santo André,autumn,o3,68.0
BR,Santo André,autumn,pm10,41.0
BR,Santo André,autumn,so2,1.0
BR,Santos,autumn,no2,24.5
BR,Santos,autumn,o3,76.0
BR,Santos,autumn,pm10,12.5
BR,Santos,autumn,pm25,15.0
BR,Santos,autumn,so2,8.0
BR,Sao Paulo,autumn,co,0.58
BR,Sao Paulo,autumn,no2,35.1
BR,Sao Paulo,autumn,o3,78.7
BR,Sao Paulo,autumn,pm10,47.0
BR,Sao Paulo,autumn,pm25,27.0
BR,Sao Paulo,autumn,so2,7.0
BR,Sorocaba,autumn,no2,21.0
BR,Sorocaba,autumn,o3,50.0
BR,Sorocaba,autumn,pm10,31.0
BR,São Bernardo do Campo,autumn,co,0.8
BR,São Bernardo do Campo,autumn,no2,57.0
BR,São Bernardo do Campo,autumn,o3,66.0
BR,São Bernardo do Campo,autumn,pm10,43.0
BR,São Bernardo do Campo,autumn,pm25,38.0
BR,São José Do Rio Preto,autumn,no2,11.0
BR,São José Do Rio Preto,autumn,o3,109.0
BR,São José Do Rio Preto,autumn,pm10,47.0
BR,São José Do Rio Preto,autumn,pm25,15.0
BR,São Paulo,autumn,co,0.6857142857142857
BR,São Paulo,autumn,no2,58.375
BR,São Paulo,autumn,o3,55.333333333333336
BR,São Paulo,autumn,pm10,36.4
BR,São Paulo,autumn,pm25,34.875
BR,São Paulo,autumn,so2,2.3333333333333335
BR,Taboão da Serra,autumn,co,1.1
BR,Taboão da Serra,autumn,no2,69.0
BR,Taboão da Serra,autumn,pm10,35.0
BR,Tatuí,autumn,no2,3.0
BR,Tatuí,autumn,o3,41.0
BR,Tatuí,autumn,pm10,3.0
BR,Taubaté,autumn,co,0.3
BR,Taubaté,autumn,no2,7.0
BR,Taubaté,autumn,o3,115.0
BR,Taubaté,autumn,pm10,26.0
BR,Taubaté,autumn,pm25,6.0
BR,Taubaté,autumn,so2,1.0
CA,ALBERTA,autumn,o3,0.027
CA,ALBERTA,autumn,pm25,5.35
CA,ALBERTA,spring,co,0.312
CA,ALBERTA,spring,no2,0.016222222222222225
CA,ALBERTA,spring,o3,0.021391304347826087
CA,ALBERTA,spring,pm25,11.415000000000001
CA,ALBERTA,spring,so2,0.0002
CA,ALBERTA,summer,no2,0.004
CA,ALBERTA,summer,o3,0.022333333333333334
CA,ALBERTA,summer,pm25,0.4
CA,ALBERTA,summer,so2,0.001
CA,BRITISH COLUMBIA,autumn,pm10,7.333333333333333
CA,BRITISH COLUMBIA,autumn,pm25,34.8
CA,BRITISH COLUMBIA,spring,co,0.12
CA,BRITISH COLUMBIA,spring,no2,0.007333333333333333
CA,BRITISH COLUMBIA,spring,o3,0.01
CA,BRITISH COLUMBIA,spring,pm10,18.333333333333332
CA,BRITISH COLUMBIA,spring,pm25,6.92
CA,BRITISH COLUMBIA,spring,so2,0.00025
CA,BRITISH COLUMBIA,summer,pm25,0.7
CA,BRITISH COLUMBIA,winter,pm10,2.0
CA,BRITISH COLUMBIA,winter,pm25,0.0
CA,MANITOBA,autumn,o3,0.012
CA,MANITOBA,spring,o3,0.015
CA,MANITOBA,spring,pm10,5.0
CA,MANITOBA,spring,pm25,3.75
CA,NEW BRUNSWICK,autumn,pm25,14.0
CA,NEW BRUNSWICK,spring,no2,0.001
CA,NEW BRUNSWICK,spring,o3,0.028285714285714286
CA,NEW BRUNSWICK,spring,pm25,2.6666666666666665
CA,NEW BRUNSWICK,winter,o3,0.017666666666666667
CA,NEWFOUNDLAND,spring,o3,0.0312
CA,NEWFOUNDLAND,spring,pm25,1.6666666666666667
CA,NORTHWEST TERRITORIES,spring,o3,0.0295
CA,NOVA SCOTIA,spring,no2,0.00025
CA,NOVA SCOTIA,spring,o3,0.027
CA,NOVA SCOTIA,spring,pm25,3.8333333333333335
CA,NOVA SCOTIA,spring,so2,0.0
CA,NOVA SCOTIA,summer,o3,0.031
CA,NOVA SCOTIA,winter,o3,0.024
CA,ONTARIO,spring,co,0.15
CA,ONTARIO,spring,o3,0.023142857142857142
CA,ONTARIO,spring,pm10,10.0
CA,ONTARIO,spring,pm25,8.173913043478262
CA,ONTARIO,spring,so2,0.0
CA,PRINCE EDWARD ISLAND,spring,no2,0.0013333333333333333
CA,PRINCE EDWARD ISLAND,spring,o3,0.02666666666666667
CA,PRINCE EDWARD ISLAND,spring,pm25,11.333333333333334
CA,PRINCE EDWARD ISLAND,spring,so2,0.0
CA,QUEBEC,autumn,o3,0.013500000000000002
CA,QUEBEC,spring,co,0.21
CA,QUEBEC,spring,no2,0.01
CA,QUEBEC,spring,o3,0.0305
CA,QUEBEC,spring,pm25,6.083333333333333
CA,QUEBEC,spring,so2,0.0
CA,QUEBEC,summer,no2,0.001
CA,QUEBEC,summer,o3,0.0275
CA,QUEBEC,winter,no2,0.006
CA,QUEBEC,winter,pm25,4.5
CA,QUEBEC,winter,so2,0.0
CA,SASKATCHEWAN,spring,o3,0.0194
CA,SASKATCHEWAN,spring,pm25,13.25
CA,SASKATCHEWAN,summer,pm10,3.0
CH,Aargau,winter,no2,10.2542
CH,Aargau,winter,o3,20.2127
CH,Basel-Landschaft,spring,no2,3.158
CH,Basel-Landschaft,spring,o3,88.3231
CH,Basel-Landschaft,spring,pm10,3.7156
CH,Basel-Landschaft,spring,pm25,2.955
CH,Basel-Landschaft,spring,so2,0.0
CH,Basel-Stadt,spring,no2,22.675549999999998
CH,Basel-Stadt,spring,o3,77.1797
CH,Basel-Stadt,spring,pm10,9.03035
CH,Bern,spring,co,273.4
CH,Bern,spring,no2,18.84555
CH,Bern,spring,o3,63.32485
CH,Bern,spring,pm10,10.55205
CH,Bern,spring,pm25,5.1839
CH,Bern,spring,so2,0.1877
CH,Genève,spring,no2,10.265133333333333
CH,Genève,spring,o3,70.47413333333333
CH,Genève,spring,pm10,3.983333333333333
CH,Lucerne,spring,o3,85.2983
CH,Lucerne,spring,pm10,5.2153
CH,Neuchâtel,spring,no2,2.8379
CH,Neuchâtel,spring,o3,84.4156
CH,Neuchâtel,spring,pm10,2.0852
CH,Sankt Gallen,spring,no2,4.1394
CH,Sankt Gallen,spring,o3,83.1901
CH,Sankt Gallen,spring,pm10,5.1525
CH,Schwyz,spring,co,149.8
CH,Schwyz,spring,no2,4.2175
CH,Schwyz,spring,o3,108.6439
CH,Schwyz,spring,pm10,3.2399
CH,Schwyz,spring,pm25,3.0873
CH,Schwyz,spring,so2,0.0
CH,Thurgau,spring,no2,5.8843
CH,Thurgau,spring,o3,102.3064
CH,Thurgau,spring,pm10,5.0494
CH,Ticino,spring,co,265.2
CH,Ticino,spring,no2,9.5844
CH,Ticino,spring,o3,71.35576666666667
CH,Ticino,spring,pm10,5.198566666666667
CH,Ticino,spring,pm25,3.0138000000000003
CH,Ticino,spring,so2,0.35315
CH,Valais,spring,no2,3.6342
CH,Valais,spring,o3,69.0939
CH,Valais,spring,pm10,2.8335
CH,Vaud,spring,co,237.2
CH,Vaud,spring,no2,22.876399999999997
CH,Vaud,spring,o3,62.04225
CH,Vaud,spring,pm10,4.17225
CH,Vaud,spring,pm25,2.0634
CH,Vaud,spring,so2,0.1684
CH,Zürich,spring,co,216.03333333333333
CH,Zürich,spring,no2,26.808699999999998
CH,Zürich,spring,o3,67.05123999999999
CH,Zürich,spring,pm10,9.07902
CH,Zürich,spring,pm25,4.56485
CH,Zürich,spring,so2,0.49606666666666666
CL,21 de mayo,spring,pm10,41.65
CL,21 de mayo,spring,pm25,33.53
CL,Alto Hospicio,spring,pm25,13.0
CL,Andacollo,autumn,pm10,19.22
CL,Andacollo,spring,pm10,144.0
CL,Antofagasta,spring,pm10,82.0
CL,Antofagasta,spring,pm25,27.0
CL,Antofagasta,spring,so2,0.75
